team,champion
Argentina,0.1876
Spain,0.1771
Brazil,0.10445
France,0.0901
England,0.0607
Germany,0.051
Colombia,0.0497
Portugal,0.04665
Belgium,0.04465
Japan,0.0242
Ecuador,0.0229
Uruguay,0.02075
Netherlands,0.0191
Mexico,0.01745
Morocco,0.01655
Croatia,0.00965
Iran,0.0089
South Korea,0.0078
Switzerland,0.00775
Australia,0.00685
Canada,0.00525
Senegal,0.003
Algeria,0.00285
United States,0.0027
Norway,0.0026
Paraguay,0.00195
Turkey,0.0017
Ivory Coast,0.0011
Austria,0.001
Scotland,0.00095
Egypt,0.0009
Uzbekistan,0.0006
Panama,0.00055
South Africa,0.0002
Tunisia,0.0002
Sweden,0.0001
Saudi Arabia,0.0001
New Zealand,0.0001
Czech Republic,0.0001
DR Congo,0.0001
Ghana,5e-05
Jordan,5e-05
Qatar,0.0
Iraq,0.0
Curaçao,0.0
Cape Verde,0.0
Bosnia and Herzegovina,0.0
Haiti,0.0
