team,group,finish_1,finish_2,finish_3,finish_4,top_2,top_3
Mexico,A,0.6587,0.25365,0.07085,0.0168,0.91235,0.9832
South Korea,A,0.2658,0.46175,0.19695,0.0755,0.7275499999999999,0.9244999999999999
Czech Republic,A,0.0539,0.17805,0.43665,0.3314,0.23195000000000002,0.6686
South Africa,A,0.0216,0.10655,0.29555,0.5763,0.12815000000000001,0.42369999999999997
Canada,B,0.48195,0.41475,0.08385,0.01945,0.8967,0.98055
Switzerland,B,0.4767,0.40745,0.0952,0.02065,0.88415,0.9793499999999999
Qatar,B,0.0231,0.09395,0.41795,0.465,0.11705,0.535
Bosnia and Herzegovina,B,0.01825,0.08385,0.403,0.4949,0.1021,0.5051
Brazil,C,0.6923,0.2421,0.05725,0.00835,0.9344,0.99165
Morocco,C,0.244,0.49705,0.2109,0.04805,0.74105,0.95195
Scotland,C,0.05665,0.20615,0.48635,0.25085,0.2628,0.74915
Haiti,C,0.00705,0.0547,0.2455,0.69275,0.06175,0.30725
United States,D,0.3628,0.2793,0.20895,0.14895,0.6421,0.85105
Australia,D,0.30885,0.2759,0.23165,0.1836,0.58475,0.8164
Paraguay,D,0.17035,0.2313,0.2853,0.31305,0.40165,0.68695
Turkey,D,0.158,0.2135,0.2741,0.3544,0.3715,0.6456
Germany,E,0.5835,0.3113,0.09385,0.01135,0.8948,0.98865
Ecuador,E,0.3386,0.4436,0.19,0.0278,0.7822,0.9722
Ivory Coast,E,0.07325,0.21855,0.5514,0.1568,0.2918,0.8432
Curaçao,E,0.00465,0.02655,0.16475,0.80405,0.0312,0.19595
Japan,F,0.4686,0.36885,0.1224,0.04015,0.83745,0.95985
Netherlands,F,0.45185,0.38515,0.12525,0.03775,0.837,0.9622499999999999
Tunisia,F,0.0453,0.13855,0.3958,0.42035,0.18385,0.57965
Sweden,F,0.03425,0.10745,0.35655,0.50175,0.1417,0.49824999999999997
Belgium,G,0.57195,0.26775,0.11335,0.04695,0.8396999999999999,0.95305
Iran,G,0.28465,0.3775,0.2273,0.11055,0.66215,0.8894500000000001
Egypt,G,0.09185,0.2195,0.374,0.31465,0.31135,0.68535
New Zealand,G,0.05155,0.13525,0.28535,0.52785,0.18680000000000002,0.47215
Spain,H,0.757,0.2091,0.0298,0.0041,0.9661,0.9959
Uruguay,H,0.21435,0.58155,0.1666,0.0375,0.7959,0.9625
Saudi Arabia,H,0.0232,0.1511,0.5079,0.3178,0.1743,0.6822
Cape Verde,H,0.00545,0.05825,0.2957,0.6406,0.0637,0.35940000000000005
Argentina,I,0.81125,0.1393,0.03945,0.01,0.95055,0.99
Algeria,I,0.09005,0.39475,0.32615,0.18905,0.4848,0.8109500000000001
Austria,I,0.07315,0.334,0.3614,0.23145,0.40715,0.7685500000000001
Jordan,I,0.02555,0.13195,0.273,0.5695,0.1575,0.4305
France,J,0.7025,0.2042,0.07405,0.01925,0.9067000000000001,0.98075
Norway,J,0.1453,0.34055,0.3252,0.18895,0.48585,0.81105
Senegal,J,0.12515,0.347,0.34695,0.1809,0.47214999999999996,0.8190999999999999
Iraq,J,0.02705,0.10825,0.2538,0.6109,0.1353,0.3891
England,K,0.68995,0.22965,0.06555,0.01485,0.9196,0.98515
Croatia,K,0.2321,0.4747,0.2199,0.0733,0.7068,0.9267
Panama,K,0.062,0.21075,0.43345,0.2938,0.27275,0.7061999999999999
Ghana,K,0.01595,0.0849,0.2811,0.61805,0.10085,0.38195
Portugal,L,0.47935,0.37205,0.1167,0.0319,0.8513999999999999,0.9681
Colombia,L,0.44825,0.38715,0.1278,0.0368,0.8353999999999999,0.9632
Uzbekistan,L,0.0466,0.145,0.42145,0.38695,0.1916,0.61305
DR Congo,L,0.0258,0.0958,0.33405,0.54435,0.1216,0.45565
