team,group,expected_points,expected_gf,expected_ga,expected_gd
Mexico,A,6.718,6.50145,2.02025,4.4812
South Korea,A,5.1064,4.9955,3.51785,1.47765
Czech Republic,A,2.9017,3.39185,5.76245,-2.3706
South Africa,A,1.94325,2.2822,5.87045,-3.58825
Canada,B,6.28485,5.8146,2.26655,3.54805
Switzerland,B,6.25785,6.0124,2.5955,3.4169
Qatar,B,2.16225,2.3424,5.65255,-3.31015
Bosnia and Herzegovina,B,2.06895,2.2852,5.94,-3.6548
Brazil,C,7.102,7.45285,2.33325,5.1196
Morocco,C,5.2267,5.61955,3.51315,2.1064
Scotland,C,3.12855,3.6726,5.7346,-2.062
Haiti,C,1.42365,2.2352,7.3992,-5.164
United States,D,4.7807,4.9495,3.64435,1.30515
Australia,D,4.50035,4.41435,3.7489,0.66545
Paraguay,D,3.5875,3.5763,4.46665,-0.89035
Turkey,D,3.37395,3.94195,5.0222,-1.08025
Germany,E,6.5797,7.1813,2.6233,4.558
Ecuador,E,5.61665,5.3426,2.9118,2.4308
Ivory Coast,E,3.4915,3.93345,4.85765,-0.9242
Curaçao,E,1.0466,1.6916,7.7562,-6.0646
Japan,F,5.99295,5.83365,2.8142,3.01945
Netherlands,F,5.9065,6.01175,2.981,3.03075
Tunisia,F,2.53895,2.62935,5.17985,-2.5505
Sweden,F,2.27695,2.7961,6.2958,-3.4997
Belgium,G,6.0615,6.4239,2.91005,3.51385
Iran,G,4.83215,4.8374,3.7135,1.1239
Egypt,G,3.1798,3.1868,4.7147,-1.5279
New Zealand,G,2.34845,2.6158,5.72565,-3.10985
Spain,H,7.39055,7.44385,1.673,5.77085
Uruguay,H,5.31445,4.4579,2.87645,1.58145
Saudi Arabia,H,2.58705,2.4333,5.141,-2.7077
Cape Verde,H,1.4972,1.7631,6.4077,-4.6446
Argentina,I,7.37935,7.57125,1.81625,5.755
Algeria,I,3.8266,4.24285,4.91055,-0.6677
Austria,I,3.50885,3.9694,5.1798,-1.2104
Jordan,I,2.0556,2.4924,6.3693,-3.8769
France,J,6.79855,6.7951,2.4011,4.394
Norway,J,3.95825,4.4051,4.7071,-0.302
Senegal,J,3.9094,3.98475,4.45555,-0.4708
Iraq,J,1.95085,2.17505,5.79625,-3.6212
England,K,6.92845,6.79835,2.003,4.79535
Croatia,K,5.00305,4.9426,3.61365,1.32895
Panama,K,3.0699,3.3092,5.3215,-2.0123
Ghana,K,1.7706,2.1293,6.2413,-4.112
Portugal,L,5.99825,5.9385,2.7262,3.2123
Colombia,L,5.89645,5.48685,2.81825,2.6686
Uzbekistan,L,2.6022,2.5824,5.0756,-2.4932
DR Congo,L,2.0292,2.0289,5.4166,-3.3877
