team,group,round_of_32,round_of_16,quarterfinal,semifinal,final,champion
Argentina,1.0,0.9876,0.8089,0.57155,0.4171,0.27695,0.1876
Spain,1.0,0.9937,0.7582,0.54325,0.42345,0.2688,0.1771
Brazil,1.0,0.98665,0.6825,0.4819,0.31,0.18825,0.10445
France,1.0,0.97155,0.5838,0.4238,0.28295,0.16725,0.0901
England,1.0,0.9781,0.66095,0.4203,0.2375,0.12835,0.0607
Germany,1.0,0.98105,0.7557,0.36825,0.2132,0.1097,0.051
Colombia,1.0,0.9363,0.65745,0.3838,0.21335,0.10845,0.0497
Portugal,1.0,0.94925,0.6613,0.3798,0.2057,0.105,0.04665
Belgium,1.0,0.93615,0.66375,0.4138,0.1998,0.0966,0.04465
Japan,1.0,0.93925,0.4779,0.28565,0.12515,0.059,0.0242
Ecuador,1.0,0.94255,0.61255,0.26645,0.1302,0.0608,0.0229
Uruguay,1.0,0.91785,0.4384,0.2463,0.1253,0.0529,0.02075
Netherlands,1.0,0.9434,0.45955,0.26325,0.11435,0.0493,0.0191
Mexico,1.0,0.9742,0.6139,0.27665,0.1163,0.0467,0.01745
Morocco,1.0,0.9119,0.4517,0.2513,0.106,0.04385,0.01655
Croatia,1.0,0.87495,0.4145,0.1869,0.0827,0.02865,0.00965
Iran,1.0,0.8379,0.4966,0.22695,0.08405,0.02965,0.0089
South Korea,1.0,0.87865,0.49005,0.1998,0.07095,0.0262,0.0078
Switzerland,1.0,0.96455,0.54005,0.22265,0.0761,0.02515,0.00775
Australia,1.0,0.7692,0.40235,0.16775,0.0604,0.02025,0.00685
Canada,1.0,0.9672,0.48505,0.18645,0.06045,0.0185,0.00525
Senegal,1.0,0.72365,0.24085,0.10785,0.03915,0.0117,0.003
Algeria,1.0,0.71355,0.2972,0.10475,0.0348,0.0108,0.00285
United States,1.0,0.8131,0.3811,0.1319,0.03695,0.0102,0.0027
Norway,1.0,0.71795,0.22045,0.096,0.03485,0.0096,0.0026
Paraguay,1.0,0.61275,0.2569,0.09305,0.02755,0.0074,0.00195
Turkey,1.0,0.57585,0.2428,0.0823,0.02375,0.00635,0.0017
Ivory Coast,1.0,0.68815,0.2653,0.07905,0.022,0.0058,0.0011
Austria,1.0,0.65145,0.23275,0.06895,0.01815,0.00435,0.001
Scotland,1.0,0.56565,0.15225,0.0497,0.01355,0.004,0.00095
Egypt,1.0,0.5629,0.24145,0.0793,0.0219,0.005,0.0009
Uzbekistan,1.0,0.43875,0.12895,0.03955,0.01175,0.0028,0.0006
Panama,1.0,0.5503,0.14835,0.0421,0.01105,0.0024,0.00055
South Africa,1.0,0.2911,0.0638,0.01115,0.00265,0.0006,0.0002
Tunisia,1.0,0.43015,0.11385,0.0328,0.0066,0.00135,0.0002
DR Congo,1.0,0.2997,0.07915,0.0229,0.00605,0.00145,0.0001
New Zealand,1.0,0.36545,0.10605,0.0241,0.00485,0.001,0.0001
Czech Republic,1.0,0.5148,0.1544,0.03825,0.008,0.0016,0.0001
Sweden,1.0,0.3609,0.09815,0.0277,0.0047,0.00075,0.0001
Saudi Arabia,1.0,0.451,0.10335,0.0294,0.00585,0.001,0.0001
Ghana,1.0,0.2567,0.04035,0.0069,0.00135,0.0003,5e-05
Jordan,1.0,0.3169,0.06545,0.013,0.0017,0.0002,5e-05
Qatar,1.0,0.3524,0.06075,0.00945,0.00115,0.0001,0.0
Iraq,1.0,0.2834,0.0667,0.02095,0.00365,0.0005,0.0
Curaçao,1.0,0.11355,0.01485,0.0016,5e-05,0.0,0.0
Cape Verde,1.0,0.19455,0.0253,0.0046,0.0007,0.0001,0.0
Bosnia and Herzegovina,1.0,0.32505,0.0593,0.0118,0.0016,0.0002,0.0
Haiti,1.0,0.18835,0.02505,0.00435,0.00065,0.00015,0.0
